trade_id,broker_id,client_id,transaction_amount,product_type,date,status
T000001,B010,C0044,1528.62,Bond,2024-03-22,completed
T000002,B009,C0002,35577.82,Forex,2024-01-15,pending
T000003,B010,C0038,10339.54,Commodity,2024-01-04,completed
T000004,B005,C0017,19491.15,Forex,2024-02-05,completed
T000005,B002,C0035,37105.29,Forex,2024-02-01,completed
T000006,B004,C0034,10605.81,Commodity,2024-01-29,completed
T000007,B007,C0023,7993.93,Commodity,2024-01-18,completed
T000008,B008,C0030,23184.25,Bond,2024-01-14,completed
T000009,B003,C0008,4311.89,Bond,2024-03-27,completed
T000010,B001,C0022,4321.09,Equity,2024-03-10,completed
T000011,B004,C0044,61026.28,Forex,2024-01-12,completed
T000012,B002,C0036,3931.63,Commodity,2024-03-16,completed
T000013,B008,C0005,59842.34,Bond,2024-02-24,failed
T000014,B004,C0013,44085.53,Commodity,2024-01-05,completed
T000015,B002,C0029,1654.56,Bond,2024-01-04,completed
T000016,B006,C0031,7971.7,Equity,2024-01-12,completed
T000017,B006,C0047,132080.14,Equity,2024-01-28,completed
T000018,B010,C0016,5055.6,Commodity,2024-01-30,completed
T000019,B004,C0042,10975.2,Equity,2024-03-05,pending
T000020,B006,C0030,44050.47,Commodity,2024-03-18,completed
T000021,B002,C0016,71330.96,Bond,2024-01-04,completed
T000022,B010,C0012,15103.65,Forex,2024-03-12,completed
T000023,B002,C0017,8988.8,Equity,2024-01-26,completed
T000024,B010,C0016,186009.83,Bond,2024-03-24,pending
T000025,B004,C0012,299045.05,Forex,2024-03-30,completed
T000026,B008,C0008,95634.32,Forex,2024-03-10,completed
T000027,B007,C0020,25033.68,Forex,2024-02-23,completed
T000028,B009,C0003,6552.5,Bond,2024-01-29,completed
T000029,B008,C0016,6338.09,Bond,2024-02-27,completed
T000030,B005,C0030,48231.67,Commodity,2024-03-16,completed
T000031,B002,C0045,41257.88,Forex,2024-02-05,completed
T000032,B005,C0023,180303.69,Forex,2024-01-01,completed
T000033,B008,C0028,58435.28,Forex,2024-01-21,completed
T000034,B010,C0040,2310.87,Commodity,2024-03-30,completed
T000035,B009,C0005,106715.47,Forex,2024-02-24,completed
T000036,B009,C0020,4929.09,Bond,2024-02-13,completed
T000037,B001,C0040,12382.54,Forex,2024-02-05,completed
T000038,B009,C0044,32057.94,Equity,2024-01-20,completed
T000039,B007,C0001,439547.57,Bond,2024-01-28,pending
T000040,B009,C0030,2338166.97,Commodity,2024-02-13,completed
T000041,B008,C0021,54725.47,Forex,2024-01-14,completed
T000042,B001,C0020,16734.12,Equity,2024-01-12,completed
T000043,B008,C0006,49107.08,Commodity,2024-02-18,completed
T000044,B008,C0022,83406.63,Commodity,2024-01-13,failed
T000045,B003,C0018,13615.97,Bond,2024-02-15,completed
T000046,B001,C0008,325402.13,Commodity,2024-02-14,completed
T000047,B008,C0039,31104.45,Commodity,2024-03-18,completed
T000048,B003,C0032,46472.44,Commodity,2024-02-03,completed
T000049,B003,C0033,59807.5,Commodity,2024-01-06,completed
T000050,B001,C0016,41455.67,Forex,2024-02-28,completed
T000051,B005,C0012,77529.26,Forex,2024-03-09,completed
T000052,B010,C0038,8726.5,Forex,2024-01-16,completed
T000053,B007,C0034,9533.31,Forex,2024-02-18,completed
T000054,B010,C0014,4229.2,Equity,2024-01-11,completed
T000055,B009,C0036,42584.77,Forex,2024-03-11,pending
T000056,B007,C0033,70855.99,Commodity,2024-02-07,completed
T000057,B009,C0023,43768.05,Forex,2024-03-21,completed
T000058,B008,C0050,271505.76,Forex,2024-03-20,completed
T000059,B002,C0045,21842.35,Bond,2024-02-16,completed
T000060,B001,C0002,60060.79,Commodity,2024-03-14,completed
T000061,B007,C0041,4283.17,Forex,2024-01-25,pending
T000062,B007,C0021,12324.57,Forex,2024-01-09,completed
T000063,B008,C0002,62524.05,Forex,2024-01-06,completed
T000064,B005,C0027,78720.05,Equity,2024-03-25,completed
T000065,B003,C0009,14172.37,Forex,2024-01-30,completed
T000066,B008,C0001,19783.45,Bond,2024-02-07,pending
T000067,B006,C0011,2260.16,Commodity,2024-01-11,completed
T000068,B003,C0003,12893.21,Commodity,2024-01-30,pending
T000069,B001,C0023,83748.6,Forex,2024-01-13,completed
T000070,B003,C0026,52198.42,Forex,2024-02-18,completed
T000071,B005,C0004,46676.62,Forex,2024-02-05,completed
T000072,B003,C0018,23733.92,Commodity,2024-02-28,completed
T000073,B001,C0006,22261.07,Commodity,2024-03-22,completed
T000074,B005,C0035,8180.58,Equity,2024-02-16,completed
T000075,B010,C0022,62833.44,Bond,2024-01-21,completed
T000076,B007,C0043,41417.53,Equity,2024-02-17,completed
T000077,B007,C0015,46075.11,Bond,2024-02-15,completed
T000078,B009,C0022,10006.08,Equity,2024-01-27,completed
T000079,B010,C0037,871.3,Commodity,2024-03-26,pending
T000080,B010,C0042,114202.57,Equity,2024-02-04,completed
T000081,B003,C0012,10740.14,Bond,2024-03-30,completed
T000082,B007,C0047,6038.05,Forex,2024-03-28,completed
T000083,B001,C0049,62331.26,Bond,2024-03-23,completed
T000084,B004,C0042,12234.08,Forex,2024-01-10,completed
T000085,B004,C0038,108001.95,Commodity,2024-03-18,completed
T000086,B005,C0018,55576.12,Bond,2024-03-22,completed
T000087,B007,C0045,61411.6,Equity,2024-01-22,pending
T000088,B007,C0035,2838.6,Bond,2024-03-09,completed
T000089,B004,C0030,135661.21,Forex,2024-02-01,completed
T000090,B007,C0024,32593.75,Commodity,2024-01-21,completed
T000091,B003,C0042,12658.5,Equity,2024-02-29,completed
T000092,B006,C0030,27312.03,Bond,2024-02-18,completed
T000093,B002,C0014,1534.02,Forex,2024-02-04,completed
T000094,B010,C0006,40659.15,Equity,2024-03-22,completed
T000095,B009,C0003,4702.94,Commodity,2024-03-29,completed
T000096,B005,C0016,2895.74,Equity,2024-03-12,completed
T000097,B006,C0007,2245.0,Commodity,2024-01-29,completed
T000098,B004,C0014,116895.14,Equity,2024-03-28,completed
T000099,B010,C0009,8570.7,Bond,2024-02-11,completed
T000100,B007,C0015,219825.99,Forex,2024-01-08,completed
T000101,B009,C0021,9860.56,Bond,2024-01-30,completed
T000102,B007,C0035,1700.99,Bond,2024-01-05,completed
T000103,B001,C0002,4126.62,Commodity,2024-02-10,completed
T000104,B001,C0027,140606.07,Commodity,2024-02-21,completed
T000105,B009,C0002,17433.57,Commodity,2024-02-04,completed
T000106,B009,C0035,9677.6,Bond,2024-01-09,completed
T000107,B004,C0018,28001.89,Equity,2024-01-28,completed
T000108,B009,C0014,46754.89,Equity,2024-03-13,completed
T000109,B003,C0020,117724.01,Bond,2024-02-10,completed
T000110,B007,C0018,193445.06,Bond,2024-01-28,completed
T000111,B006,C0010,12840.34,Forex,2024-03-24,failed
T000112,B008,C0025,3013.71,Commodity,2024-03-04,completed
T000113,B009,C0002,11846.67,Commodity,2024-02-20,completed
T000114,B005,C0025,32546.36,Bond,2024-03-23,completed
T000115,B001,C0033,5189.34,Bond,2024-02-28,completed
T000116,B003,C0036,5241.03,Equity,2024-01-19,completed
T000117,B010,C0031,36889.48,Bond,2024-02-03,completed
T000118,B008,C0014,20476.26,Equity,2024-01-18,failed
T000119,B006,C0001,23137.17,Bond,2024-02-01,completed
T000120,B008,C0046,7060.4,Forex,2024-03-12,completed
T000121,B009,C0016,15590.22,Forex,2024-03-09,completed
T000122,B004,C0046,5506.31,Equity,2024-02-03,completed
T000123,B001,C0003,83725.4,Commodity,2024-03-15,completed
T000124,B001,C0035,104075.72,Forex,2024-02-24,completed
T000125,B010,C0041,1381.21,Equity,2024-03-15,pending
T000126,B004,C0006,5462.89,Bond,2024-02-21,completed
T000127,B007,C0025,2333.69,Bond,2024-02-16,completed
T000128,B002,C0013,8307.92,Equity,2024-01-29,completed
T000129,B003,C0034,19435.24,Commodity,2024-01-18,completed
T000130,B001,C0008,2503.72,Equity,2024-03-06,completed
T000131,B005,C0021,5525.95,Equity,2024-03-04,completed
T000132,B001,C0034,4885.68,Forex,2024-01-12,completed
T000133,B008,C0004,30058.51,Equity,2024-01-07,completed
T000134,B001,C0025,24440.98,Equity,2024-01-15,completed
T000135,B001,C0015,7460.62,Bond,2024-01-20,pending
T000136,B002,C0004,28716.62,Forex,2024-03-21,completed
T000137,B002,C0045,9700.96,Bond,2024-01-21,completed
T000138,B006,C0012,14654.71,Bond,2024-03-28,completed
T000139,B007,C0032,271082.41,Commodity,2024-02-24,completed
T000140,B005,C0032,164504.23,Commodity,2024-03-17,completed
T000141,B001,C0028,3135.76,Forex,2024-01-09,completed
